skirmish	"소규모 접전, 작은 충돌"
decimation	다수의 인명을 앗음
raging	"격렬한, 맹렬한, 극심한"
negate	무효화하다
encephalopathy	뇌병증
duck out	"책임을 피하다, 도망치다"
salient	"가장 중요한, 핵심적인"
loquaciously	말이 많은
morph	"변하다, 바뀌다"
limp along	절름거리며 걷다
go cold turkey	마약을 갑자기 끊다
destitute	"극빈한, 궁핍한"
gallant	"용감한, 정중한"
petulant	심술을 부리는
fastidious	"세심한, 꼼꼼한"
magnanimity	포용
leniency	"너그러움, 관대함"
decorum	"점잖음, 예의"
sterile	불임의
heirloom	가보
memento	(사람·장소를 기억하기 위한) 기념품
dire	"매우 심각한, 긴급한"
proclamation	"선언서, 성명서, 선언, 선포"
asymptomatic	무증상의
in one way or another	"어떤 방법으로든, 어떻게든"
livelihood	생계 (수단)
microbes	미생물
enlist	요청하다
contract	"(병에) 걸리다, 수축하다, 계약서"
venereal	성병의
syphilis	매독
inoculate	"접종하다, 예방 주사를 놓다"
lesion	병변
vigorous	"활발한, 격렬한"
excrete	배변하다
antigen	항원(체내에 들어가 항체(antibodies) 형성을 촉진하는 물질)
lead?a?sheltered?life	(외부와의 교섭이 없는) 조용한 생활을 하다
buck	"저항하다, 맞서다"
on the heels of	"아무의 뒤를 바짝 뒤따라서, ~에 잇따라서"
resumption	재개
uniformity	"균일성, 획일성"
homogeneity	"동종성, 동질성"
parochial	"지역주의의, 교구의"
uncharted	"인적 미답의, 미지의, 잘 알지 못하는"
adroit	노련한
between the Scylla and Charybdis	진퇴양난의
ramifications	(파생한) 결과
down-to-earth	"실제적인, 견실한, 현실적인"
on the sly	은밀히
pathogen	"병원균, 병원체"
talk of the town	장안의 화제
edge off	"서서히 떨어지다, 서서히 멀어지다"
ghostwriting	대필
go rogue	멋대로 굴다
alteration	"변화, 개조"
bicker	(사소한 일로)다투다
foot the bill	비용을 부담하다
altruism	이타주의
long-drawn-out	너무 오래 끄는
tribelet	소부족
dysentery	이질
whence	~한 곳에서
leprosy	"나병, 문둥병"
hookworm	"십이지장충, 구충"
fecal	분변의
afflict	"괴롭히다, 피해를 입히다"
astute	"약삭빠른, 영악한"
perceptive	통찰력 있는
provocative	도발적인
byline	필자 이름을 적은 행
full-on	"최대의, 극도의"
unabashedly	염치없이
entropy	예측 불허
senile	"망령난, 노망든"
ageism	노인 차별
embodiment	전형
olfactory	후각의
disillusionment	환멸
tempest in a teapot	사소한 일로 인한 큰 소동
blow over	"지나가다, 사그라들다"
winnow	키질하다
annals	"연대기, 연보"
arthropod	절지동물(곤충·거미·게 등)
delouse	이(lice)를 없애다
vector	(질병의) 매개체
idiosyncrasy	"특이한 성격, 성벽"
titular	명목상의
underprivileged	혜택을 못 받는
opine	의견을 밝히다
cordial	"화기애애한, 다정한"
embroiled in	~에 휩쓸린
paucity	"소량, 부족, 결핍"
vest in	~에게 부여하다
blow a gasket	"버럭 화를 내다, 격노하다"
volition	자유 의지
mediation	"조정, 중재"
judoka	유도 선수
bulwark	"방어물, 보호자"
disinformation	허위 정보
slur	"비방(하는 말), 불분명하게 발음하다"
conjecture	추측
savagery	"야만성, 흉포성"
hallmark	"특징, 특질"
hieroglyph	상형문자
decompose	"분해되다, 부패되다"
utterance	"(말로) 표현함, 입 밖에 냄"
catfishing	연인을 구하기 위해 온라인에서 거짓말을 하는 행위
unilateral	"일방적인, 단독의"
dead set on	~에 전력투구하는
ingrain	"깊이 배어든, 뿌리 깊은, 타고난"
embark upon	~에 착수하다
cut ties with	~와의 관계를 끊다
double down on	~에 전념하다. 몰두하다
engage with	~와 맞물리게 하다
degenerate	악화되다
detriment 	손상
tempestuous	"열렬한, 격정적인"
headwind	"맞바람, 역풍"
hybridity	잡종성
friendship with benefits	성적인 관계만 갖는 사이
stylus	"(축음기의) 바늘, 스타일러스(컴퓨터용펜)"
hold still for	~을 가만히 참다
derivative	"파생어, 파생물"
mishmash	뒤죽박죽
proliferation	"급증, 확산"
conscientious	"양심적인, 성실한"
autonomy	자치권
insemination	씨뿌림
meteorologist	기상학자
speak off the cuff	즉석에서 연설하다
monologue	"긴 이야기, 독백"
waywardly	자의로
to the core	"속속들이, 철두철미하게"
point blank	"단도직입적인, 딱 잘라 말하는"
annexation	"부가, 첨가, (영토의) 합병"
cohabit	동거하다
reimburse	"배상하다, 변제하다"
munificent	대단히 후한
critter	생물
divination	점(占)
dynastic	왕조의
incised	"새긴, 조각한"
oracle	"신탁을 받는 곳, 신탁"
auspicious	상서로운
nimbly	"민첩하게, 재빠르게"
co-opt	선임하다
nebulous	"흐릿한, 모호한"
legitimacy	"정당성, 타당성"
unmitigated	"순전한, 완전한(보통 나쁜 것)"
unprepossessing	"매력 없는, 호감을 주지 못하는"
syllabary	음절 문자 체계
precocious	"조숙한, 아이 같지 않은"
layperson	비전문가
unreceptive	"수용력이 없는, 반응이 좋지 않은"
conform 	"따르다, 집단의 다른 구성원들과 행동을 같이 하다, 순응하다"
tinker	"땜장이, 어설프게 손보다"
despotism	폭정
envisage	"예상하다, 상상하다"
foodie	식도락가
cotton gin	면기(면화에서 솜과 씨를 분리하는 기계)
disperse	"흩어지다, 해산하다"
terra firma	"육지, 대지"
have had it up to here	참을 만큼 참았다
a word of caution	경고의 말
combustible	"불이 잘 붙는, 가연성인"
incendiary	"방화의, 불을 지르기 위한"
cachet	(사람들이 흠모하는) 특징
prestige	"위신, 명망"
entrenched	"참호로 둘러싸인; 견고한, 확립된"
ophthalmologist	안과 의사
varsity	(대학고등학교의) 대표팀
lackluster	"광택이 없는, 열기가 없는"
resuscitate	소생시키다
passage of time	"시간의 흐름, 시간의 경과"
preeminence	"발군(拔群), 탁월"
heretic	이단자
incompatible	양립할 수 없는
exhaust	배기가스. 고갈시키다
tacitly	"무언으로, 조용하게"
prevalent	일반적인
rancher	목장 주인
weir	둑
mediocracy	평범한 사람에 의한 통치
aggregation	종합
compound interest	복리
apparent	분명한
appreciate	"진가를 알아보다, 고마워하다"
transformative	"변화시키는, 변형의"
fall by the wayside	"도중에 실패하다, 진전을 못 보다"
latent	"잠재하는, 잠복해 있는"
tectonic	구조상의
entrench	단단히 자리 잡게 하다
antidote	"해독제, 해결책"
refinement	"개선, 개량"
religiously	"세심하게, 어김없이, 종교적으로"
incongruent	"맞지 않는,  일치하지 않는"
"embody
"	"상징하다, 구현하다"
studious	"공부를 열심히 하는, 학구적인"
one-off	단 한 번의
the North Star	북극성
rudder	"? (배의) 키, (항공기의) 방향타"
trigonometry	삼각법
on reflection	"깊이 생각해 보니, 숙고해 보고"
at length	"길게, 상세히"
crop up	"불쑥 나타나다, 발생하다"
vis-?-vis	"~에 대하여, ~와 비교하여"
frivolous	"경솔한, 바보 같은, 까부는"
disciple	"제자, 신봉자"
overtly	공공연히
self-appointed	"자기 혼자 정한, 자칭의"
confer on	~에게 수여하다
pervade	"만연하다, (구석구석) 스며들다"
voracious	"게걸스러운, 열렬히 탐하는"
marginalize	하찮은 존재 같은 기분이 들게 하다
indenture	(하인·도제의) 고용 계약서
porcelain	자기(磁器)
fad	(일시적인) 유행
gun-toting	(권)총을 휴대하는
dwarf	왜소해 보이게 만들다
the upper paleolithic	후기구석기
catalyze	"~에 촉매 작용을 미치다, 촉진시키다"
truncate	길이를 줄이다
in a sense	"어떤 의미에서는, 어느 정도(까지는)"
pawn off	(-을 없애버리려고 다른 사람에게) 주다
pigeonhole 	"칸, 함, 분류하다, 밀쳐 두다"
complement	보완하다
cue	"신호, 신호를 주다"
exhaustive	"철저한, 완전한"
irresponsible	무책임한
presenter	"진행자, 사회자, 발표자"
impose	"부과하다, 강요하다"
attach a stigma to	~에게 오명을 씌우다
take up on	~을 채택하다
landmass	"광대한 땅, (특히) 대륙"
transect	"가로로 쪼개다, 횡단하다"
gradient	"경사도, 변화도"
glaring	"확연한, 두드러진"
slough	"(허물 등을) 벗다, (각질 등을) 벗기다"
battalion	"대대, 부대"
berate	질책하다
Passover	유월절(이집트 탈출을 기념하는 유대인의 축제)
antsy	안달하는
set out	"~을 정리하다, ~을 진열하다"
game plan	"전략, 작전"
kleptocracy	도둑 정치(권력자가 막대한 부를 독점하는 정치 체제)
erstwhile	"이전의, 지금까지의"
inauspicious	"상서롭지 못한, 불길한"
renounce	"포기하다, 단념하다"
demarcation	"경계, 구분"
heterogeneous	다차원적
stratification	"성층(成層), 계층화"
epigraph	비문
stalemate	교착 상태
pose	"제기하다,  자세를 취하다"
grew apart	(~와) 사이가 멀어지다
profess	"주장하다, 공언하다"
granted	"인정해, 맞아"
interlude	"사이, 중간, 막간"
primary care	1차 의료
embargo 	금수조치
crisper	냉장고의 야채 보관실
menial	"하찮은, 천한"
unswerving	"약해지지 않는, 변함없는"
Machiavellian	"권모술수에 능한, 마키아벨리 같은"
chapter and verse	상세한 내용
flurry	"소동, 부산"
upend	"거꾸로 하다, 뒤집다"
relapse	"재발, 악화, 다시 빠지다"
perseverance	인내(심)
grit	"모래, 투지, 기개"
presage	전조가 되다
covet	"탐내다, 갈망하다"
subsume	포함하다
perquisite	"특전, 특권"
baron	"남작, 부호"
benefactor	후원자
avariciously	욕심 사납게
rapacity	탐욕
vindictiveness	"복수심이 강함, 보복적임"
wait on somebody hand and foot	~의 손발 노릇을 하다
commiseration	위로의 표현
Irresistible	"억누를 수 없는, 거부할 수가 없는"
hyperpalatable	"(음식이) 소금, 지방, 설탕, 전분을 포함한"
stimuli	"STIMULUS의 복수, 자극"
inhibit	"억제하다, 못하게 하다"
downtrodden	"탄압받은, 짓밟힌"
upstart	건방진 놈
resort to	~에 의지하다
populace	"대중들, 서민들"
buttress	"지지대, 지지하다"
coinage	"동전들, 주화"
amalgamation	"융합, 연합, 합병"
culminate	(~으로) 끝이 나다
fervor	"열렬, 열정"
provost	"학장(영국), 교무 처장(미국)"
blatant	"노골적인, 뻔한"
emulate	모방하다
in the picture	"마침 현장에 있는, 사실을 잘 알고 있는"
homebound	"귀향의, 집에 틀어박힌"
mantra	만트라(특히 기도·명상 때 외는 주문)
adamant	"요지부동의, 단호한"
atypical	이례적인
at large	"전체적인, 대체적인"
legion	"(특히 고대 로마의) 군단, 부대, 많은 사람들"
unbeknownst	"~가 모르는, unbeknown"
ruse	"계략, 책략"
medallion	(목걸이에 거는) 큰 메달 모양의 보석
chauvinist	맹목적 애국주의자
henpecked	공처가의
purge	"제거하다, 숙청하다"
lash out	"채찍질하다, 비난하다"
get to	"~을 시작하다, ~을 착수하다"
arousal	자극
fluidity	"부드러움, 우아함, 유동성"
stymie	"방해하다, 좌절시키다"
on end	(어떤 기간 동안) 계속
nitpick	별것 아닌 트집을 잡다
jingoist	맹목적 애국주의자
fledgling	(막 날기 시작한) 어린 새
dogmatize	독단적인 주장을 하다
indoctrinate	(사상 등을) 주입하다
highbrow	"식자층의, 교양 있는"
lowbrow	"교양 없는, 저속한"
pathfinder	"길잡이, 선도자"
pristinely	"최초로,원시적으로"
ethereal	"지극히 가볍고 여린, 천상의"
duress	"협박, 압력"
correlation	"연관성, 상관관계"
importation 	"import, 수입"
belt out	힘차게 노래부르다
rendition	"연주, 공연"
deter	"단념시키다, 그만두게 하다"
deterrence	"제지, 저지, 전쟁 억제"
playbook	"(정치·상업 캠페인 따위의) 계획, 전술"
get bogged down	발목을 붙잡히다
spatial	"공간의, 공간적인"
proselytize	개종시키려 하다
dyad	"두 부분으로 이뤄진 것, 한 쌍"
combatant	"전투원, 전투 부대"
truce	휴전
amalgamate	"합병하다, 연합하다"
mellow	"부드럽고 풍부한, 그윽한"
skillet	frying pan
keep something at bay	"발생을 막다, 접근을 막다"
principality	공국
Biblical times	성서 시대
emporium	"큰 상점, (특정 상품을 파는) 상점"
rapport	(친밀한) 관계
bust one's ass(butt)	필사적으로 일하는 것
bulk	"(~의) 대부분, (큰) 규모"
provision	"공급, 제공, 대비, 준비"
backwardness	"낙후, 후진성"
haft	"(칼·무기의) 손잡이, 자루"
sequester	격리시키다
sunder	"찢다, 떼어내다"
epithet	"별칭, 묘사, 욕설"
INCONSOLABLE	? 슬픔을 가눌 수 없는
denote	"조짐을 보여주다, 의미하다"
lapse	"실수, 깜박함, 차츰 약해지다"
perspire	"땀을 흘리다, 땀이 나다"
fraternity	"협회, 형제애, 박애"
egotism	"자기 중심벽, 자만, 이기주의"
travesty	졸렬한 모방
squatter	"불법 거주자, 무단 점유자"
stagnant	고여 있는
suds	"(비눗물 위에 뜬) 비누 거품, 맥주"
pamper	"소중히 보살피다, 애지중지하다"
gratification	만족감
regressive	"퇴행하는, 퇴보하는"
enthuse	열변을 토하다
unruly	"다루기 힘든, 제멋대로 구는"
silt	"유사, 토사"
tucked away	사람들이 붐비지 않는 곳에 위치하다
trifling	"하찮은, 사소한"
pitfall	"(눈에 잘 안 띄는) 위험, 곤란"
curative	치유력이 있는
polyamorous	다자간 연애
punitive 	가혹한
repel	"격퇴하다, 물리치다"
aggregate	"합계, 총액"
conduit	"도관, 전선관, 전달자"
marsupial	유대목 동물(캥거루·코알라처럼 육아낭에 새끼를 넣어 가지고 다니는 동물)
dingo	딩고(오스트레일리아산 들개)
mesmeric	"최면을 거는 듯한, 완전 넋을 빼놓는"
kill somebody with kindness	~에 대한 친절이 지나쳐 도리어 화를 입히다
bad news	[미·속어] 골치 아픈 녀석
propulsion	"추진, 추진력"
neuroticism	신경증적 성질
conscientiousness	성실성
punctuate	간간이 끼어들다
millet	"수수, 기장"
aridity	"건조 (상태), 빈약, 무미건조"
delusion of grandeur	과대망상
debunk	틀렸음을 드러내다
empress	"여자 황제, 여제"
conspire	"음모를 꾸미다, 공모하다"
intemperate	무절제한
behest	"명령, 지령"
regression	퇴보
aphrodisiac	"최음제, 정력제"
sea cucumber	해삼
forge	대장간
attenuate	"약화시키다, 희석시키다"
fetter	구속하다
spurn	"퇴짜 놓다, 일축하다"
cater?to?somebody	~의 구미에 맞추다
cut short	"갑자기 끝내다, 가로막다"
upside	"괜찮은 면,  긍정적인 면"
pundit	"전문가, 권위자"
Tao Te Ching	도덕경(노자)
supple	(몸이) 유연한
pliant	"나긋나긋한, 얌전한"
hepatitis	간염
notwithstanding	~에도 불구하고
pariah	"버림받은 사람,  따돌림 받는 사람"
twiddle	(손가락으로)빙빙 돌리다
herdsmen	목동
tattle on	~에 대해 고자질하다
snitch	"고자질하다, 일러바치다"
rambunctious	"떠들썩한, 활기 넘치는"
impediment	장애
banal	"지극히 평범한, 따분한, 시시한"
enclave	소수 민족 집단 거주지
archetypal	전형적인
folklore	"민속, 전통 문화"
relegate	격하시키다
bespeak	"보여주다, 시사하다"
bubonic 	임파선종의
isthmus	지협(地峽)
smelting	"용해, 제련"
culminating	"절정에 달하는, 궁극의"
draconian	"매우 엄격한, 가혹한"
offshoot	"파생물, 분파"
steamroller	강압적으로 밀어붙이다
relict	"잔존 생물, 나머지"
seminal	중대한
disproportionate	"균형이 안 맞는, 불균형의"
garner	"모으다, 얻다"
comparable	"비슷한, 비교할 만한"
nervy	"불안 초조한, 뻔뻔스러운"
palatable	"맛있는, 맛좋은, 마음에 드는"
dispersal	"해산, 분산, 확산"
hilarity	아주 우스움
dismiss	묵살하다
brandish	(특히 무기를) 휘두르다
overrun	"급속히 퍼지다, 초과하다"
vacillation	"동요, 흔들림"
foolhardy	무모한
brash	자신만만한
unbridled	억제되지 않은
usurp	(왕좌·권좌 등을) 빼앗다
soliloquy	독백
burlesque	"풍자시, 풍자극"
chivalry	"정중함, 기사도 정신"
unpractical	"비실용적인, 비실제적인"
sleaze	"부정직한 행위, 추잡함"
paraphernalia	(특히 특정한 활동에 필요한) 용품
self-sufficiency	자족
sleeper agent	슬리퍼 에이전트 (긴급 사태 발생에 대기하고 있는 정보 요원)
schizophrenia	조현병
obsidian	흑요석
concomitant	수반되는
exuberant	활기넘치는
incorrigible	"고질적인, 구제 불능의"
throw under the bus	이기적인 이유로 다른 사람을 희생시키거나 배신하다
spat	"승강이, 옥신각신함, 입씨름"
badgering	"졸라댐, 못살게 굼"
hides	가죽
Adderall	"치료용 각성제,암페타민"
cut off your nose to spite your face	남을 해치려다가 자기도 함께 당하다
reel from something	~의 영향으로 휘청거리다
polyglot	여러 언어를 사용하는
cohesion	"화합, 결합"
mnemonic	(기억을 돕는) 연상 기호
prominent	"중요한, 유명한"
fraudulent	사기를 치는
analogy	"비유, 유사점"
sickle	낫
impertinence 	무례
corporal punishment	"체벌, 태형"
neuter	거세하다
hump	성교하다
spayed female	난소 제거된 여성
contiguous	"인접한, 근접한"
mythos	신화
ethos	(특정 집단·사회의) 기풍
Founding Fathers	미합중국 헌법 제정자들
reshoring	국내 복귀
replenishment	"보충, 보급"
optometrist	검안사
visibly	"눈에 띄게, 분명히"
flips the script	"To reverse a situation, especially by doing something unexpected."
subsidize	보조금을 주다
dispossession	"몰아내기, 강탈, 탈취"
ravine	"산골짜기, 협곡"
moribund	소멸 직전의
creole	"크리올 사람(특히 서인도 제도에 사는, 유럽인과 흑인의 혼혈인)"
temperamental	"신경질적인, 괴팍한"
matriarch	여자 가장
archaic	"태곳적의, 고대의, 낡은, 폐물이 된"
baboon	개코원숭이
genus	(생물 분류상의) 속(屬)
patriarch	(가정의) 가장
extant	현존하는
pompous	"젠체하는, 거만한"
atrophy	(혈액 부족으로 인한 신체 부위의) 위축
intricate	복잡한
primate	영장류 (동물)
scaffolding	"(건축 공사장의) 비계, 발판"
cranium	두개골
earthenware	도기의
kiln	(벽돌 등을 굽는) 가마
carrion	(죽은 짐승의) 썩어 가는 고기
epitome	전형
anachronism	시대착오적인 사람
unrepentant	"부끄러워하지 않는, 수치스러운 줄 모르는"
inclement 	"좋지 못한, 궂은"
ingest	"삼키다, 먹다"
leonine	사자 같은
malign	비방하다
fornicate	간통하다
aspirant	포부가 큰 사람
servitude	노예 상태
flesh-and-blood	(평범한·정상적인) 인간
autocrat	"전제 군주, 독재자"
procreation	"출산, 생식"
sire	"(짐승, 특히 말의) 아비, 종마"
pragmatic 	실용적인
stratagem	"책략, 술수"
pandemonium	대혼란
monogamous	일부일처제
forager	"채집가, 약탈자"
herder	"양치기, 목부"
gorge on	~을 게걸스럽게 먹다
cornucopia	(좋은 것들이 가득 찬) 보고
snail mail	(이메일과 대조되는) 재래식 우편 제도
extrapolate	추정하다
strenuous	"힘이 많이 드는, 몹시 힘든, 불굴의"
rock the boat	평지풍파를 일으키다
stoop?to?something	(~을 할 정도로) 비열해지다
mend fences	화해하다
facetiously	"농담으로, 익살맞게"
endowed	"천부의, 천부적, 타고난"
pigment	"색소, 안료"
demographic	인구 통계학의
scourge	"재앙, 골칫거리"
euthanasia	안락사
liability 	"골칫거리, 법적 책임, 부채"
fiend	"악마 같은 사람, 광"
humdrum	"단조로운, 따분한"
mollify	달래다
malevolent 	"악의 있는, 악의적인"
theist	"유신론자, 일신론자"
rubric	(책·시험지 등에 제시된) 지시문
mystic	신비주의자
heretical	이단적인
lascivious	음탕한
prosaic	"평범한, 상상력이 없는"
inquisition	"(특히 15-17세기 가톨릭의) 종교 재판, 심문"
pristine	"완전 새 것 같은, 아주 깨끗한"
pudgy	약간 뚱뚱한
mythic	신화적인
frugality	절약
rubberneck	(차를 타고 지나가면서) 고개를 돌려 보다
insinuate	암시하다
tedium	지루함
scenic	경치가 좋은
punitive	처벌을 위한
inconsequential	"중요하지 않은, 하찮은"
encumbrances	"지장, 짐, 폐"
resuscitation	소생
infallible	"결코 틀리지 않는, 틀림없는"
quaint	진기한
maraud	"약탈하다, 습격하다"
grumpy	성격이 나쁜
cranky	"짜증을 내는, 기이한"
disseminate	퍼뜨리다
pretext	"구실, 핑계"
high-functioning alcoholic	사회생활은 유지하는 알코올 중독자
unsavory	좋지 못한 냄새가 나는
hunker down	"쪼그리고 앉다, 고수하다"
laden with	이 가득한
infallibly	영락없이
lace with	~을 가미하다
parlay	원금과 그 상금을 다시 다른 말에 걸기
chillax	진정하다
subset	부분 집합
demography	"인구 변동, 인구 통계학"
palatial	"대궐 같은, 으리으리한"
credence	신빙성
espouse	옹호하다
tumultuous	"떠들썩한, 격동의"
preordained	이미 운명 지워진
prognosticator	"예언자, 점쟁이"
crotchety	짜증을 내는
nefariously	극악무도하게
trough	"구유, 여물통"
gainful	? 돈벌이가 되는
aeon	"영겁, 억겁"
expunge	지우다
Guilty as Charged	기소된 대로 유죄인
exonerate	? 무죄임을 밝혀 주다
vagary	예측 불허의 변화
rub off on	에 영향을 주다
trepidation	"(앞일에 대한 굉장한) 두려움, 공포"
derelict	"버려진, 유기된, 부랑자"
zest	"열정, 열의"
common denominator	공통분모
gig	"(특히 임시로 하는) 일, 직장"
gluttony	"폭식, 과식"
banish 	"추방하다, 유배를 보내다"
posit 	"사실로 상정하다, 사실로 받아들이다"
suffrage 	"투표권, 선거권, 참정권"
predecessor	전임자
enfranchisement	"참정권 부여, 선거권 부여"
nothing to sneeze at	"가볍게 볼 수 없는, 만만치 않은"
piety	"경건함, 독실함"
kudo	"명성, 영예, 위신, 칭찬"
smelt	(광석을) 제련하다
inseminate	수정(受精)시키다
focal point	"(관심·활동의) 초점, 중심"
pampered	"방자한, 제멋대로 하는"
arthritis	관절염
omnivorous	잡식성의
granary	"곡물 저장고, 곡창"
give way to	~에 굽히다
enamored	"매혹된, 홀딱 반한, 사랑에 빠진"
titillate	(특히 성적으로) 자극하다
foreclosure	"담보권 행사, 압류"
permutation	"순열, 치환"
stilted	"부자연스러운, 지나치게 격식적인"
submissive	"순종적인, 고분고분한"
at somebody's beck and call	~가 명령만 하면 달려가는
play-by-play	스포츠 실황 중계
catch?up?with?somebody	결국 ~의 발목을 잡다
scythe	"큰 낫, 베다"
wean	"젖을 떼다, 이유를 시작하다"
depredation	약탈
stratum	"(암석 등의) 층, 지층, 단층"
quarry 	채석장
make?or?break?something	~의 성패를 좌우하다
collusion	"공모, 결탁"
charade	"가식, 위장"
lacuna	(글·생각·이론 등에서) 빈틈
dispassionately	"냉정하게, 공정하게"
arcane	"신비로운, 불가사의한"
corral	(말이나 소를) 울타리 안으로 몰아넣다
procreate	아이를 낳다
castration 	거세
gouge	(난폭하게) 찌르다
in lieu of	~대신에
net worth	순자산
to the hilt	"최대한, 최대로"
stave off	"비키다, 피하다, 간신히 모면하다"
to taste	입맛에 따라 (필요한 양 만큼)
swear off	(술·담배 따위)를 맹세하고 끊다
deciduous	"매년 잎이 떨어지는, 낙엽성의"
coniferous	침엽수
profuse	"많은, 다량의"
partisan	"편파적인, 당파적인, 열렬한 지지자, 게릴라"
perdition	영원히 계속되는 벌
symbiosis	공생
interloper	침입자
domicile	거주지
artefact	인공물
frenetic	"정신없이 바쁘게 돌아가는, 부산한"
strife 	갈등
transpire	알고 보니 ~이다
altruistic	이타적인
inextricably	불가분하게
drudgery 	힘들고 단조로운 일
flaunt 	과시하다
faux	"모조의, 가짜의"
debutante	처음 사교계에 나가는 상류층 여성
incongruity	"어울리지 않음, 부조화"
assiduously	부지런히
purgatory	"연옥, 지옥"
fiscal soundness	재정 건전성
yardstick	"기준, 척도"
shoddy	"조잡한, 부정직한, 부당한"
tout	"장점을 내세우다, 광고하다"
ironclad	"이의를 제기할 수 없는, 변경할 수 없는"		
acquiesce	묵인하다
bayonet	총검
take into account	~을 고려하다
sumptuous	호화로운
equivocation	얼버무리기
torchbearer	계몽가
antithesis	반대(되는 것)
quotient	(나눗셈에서) 몫
extravagance	"낭비, 사치"
deleterious	"해로운, 유해한"
hellacious	"뛰어난, 무서운, 만만치 않은, 심한"
assuage	"누그러뜨리다, 달래다"
outlandish 	"이상한, 기이한"
brittle	"잘 부러지는, 불안정한"
elusive	"찾기 힘든, 달성하기 힘든"
linchpin	핵심이 되는 인물(것)
roadblock	"바리케이드, 장애물"
hefty	"장대한, 크고 무거운"
flashpoint	"일촉즉발의 상황, (비유적) 화약고"
porpoise	알락돌고래
auditory	청각의
subsequent	"그 다음의, 차후의"
construe	~을 (~으로) 이해하다
ascribe	~의 탓으로 돌리다
trapeze	(특히 서커스 곡예용) 공중 그네
buxom	(가슴이) 풍만한
affirmative action	(인종·남녀 차별 등으로 인한) 사회적 약자 우대 정책
illustrious	"저명한, 걸출한"
trait	(성격상의) 특성
likeability	호감도
moat	"호, 해자(성 주위에 둘러 판 못)"
corroborate	"제공하다, 입증하다"
tenuous	"미약한, 보잘것없는"
entrust	(일을) 맡기다
chum with a person	친구가 되다
innocuously	"무해하여, 무독하여"
bilk	"(특히 돈을) 사취하다, (사람을) 속이다"
malign	(공개적으로) 비방하다
wedlock	결혼
bellyache	"투덜거리다, 불평을 해대다"
irregularity	"변칙, 부정, 이상, 부조리"
anti-graft	뇌물 방지
illicitly	"위법으로, 무면허로"
lofty	"아주 높은, 고귀한, 고결한, 오만한"
cuneiform	설형문자
exalted 	"(지위·계급 등이) 높은, 고위층의"
hieroglyphic	상형 문자
inexorably	"냉혹하게, 가차없이"
cane	"회초리로 때리다, (대나무처럼 속이 빈) 줄기"
toil	힘들게 일하다
efficacy 	(특히 약이나 치료의) 효험
rigor	"엄함, 엄격, 준엄"
pulverize	"가루로 만들다, 분쇄하다"
banality	"따분함, 시시한 말"
incognito	"자기 신분을 숨기고, 가명으로"
Born and Bred	나고 자란
provenance	"기원, 출처, 유래"
cacophony	불협화음
prowess	"(절묘한) 기량, 솜씨"
sow one’s wild oats	난봉을 피우고 다니다
cadre	"간부단, 핵심 그룹"
consecrate	축성하다
indolence 	"게으름, 나태"
ordain	"(성직자로) 임명하다, 명하다"
knead	"(반죽·찰흙 등을) 이기다, 치대다"
dispense with	"~을 필요없이하다, 면제시키다"
acumen	(일에 대한) 감각
asinine	터무니없는
encompass	"포함하다, 에워싸다"
provisional	"임시의, 일시적인, 잠정적인"
repatriate	"본국으로 송환하다, 본국으로 송금하다"
ratify	"비준하다, 재가하다"
celiac	"배의, 복강(腹腔)의"
omnivore	잡식 동물
elucidate	(더 자세히) 설명하다
measly	쥐꼬리만한
subvert 	(체제를) 전복시키다
perfunctory	"형식적인, 의무적인"
awash	"물에 뒤덮인, (양이 많아서) 넘쳐 나는"
gluttonous	"게걸들린, 많이 먹는, 탐욕스러운"
congenitally	선천적으로
effervescent 	"열광하는, 기운이 넘치는"
prognosis	"예후(豫後), 예상, 예측"
lecherous	"색을 밝히는, 호색의"
primordial	"태고의, 원시 시대부터의, 원시적인, 원초적인"
forestall	미연에 방지하다
eunuch	"환관, 거세당한 사람"
despot	폭군
salutary	"유익한, 효과가 좋은"
conformity	"(규칙·관습 등에) 따름, 순응"
collegiate	대학의
erode	"침식시키다, 약화시키다"
expedient	"방편, 처방, 방책, 편리한"
pious	"경건한, 독실한"
strike a chord	심금을 울리다
dissolute	방종한
asunder	"산산이, 뿔뿔이"
imperious	고압적인
aphorism	경구(警句)
paleontology	"고생물학, 화석학"
behemoth	거대 기업
grille	"(보호·방범용) 창살, 안전망"
precipice	벼랑
ilk	"종류, 동류"
bellicosely	"호전적으로, 투쟁적으로"
palliative	일시적인 처방
ramifications	(파생한) 결과
platitude	진부한 이야기
discourse	"담론, 담화"
effeminacy	"여자 같음, 나약, 연약, 우유부단"
paragon	"귀감, 모범"
virility	"(남성의) 정력, 힘, 에너지"
dreary	"음울한, 따분한"
laurel	"월계수, 월계관"
patriarchal	"가부장제의, 가부장적인"
theologian	신학자
clout	영향력
syndicate	"신디케이트, 연합체"
don	"우두머리, 두목"
misgiving	"의혹, 불안감"
din	(오래 계속되는 크고 불쾌한) 소음
cloaked in secrecy	비밀로 묻혀있는
morsel	(특히 음식의) 작은 양
nonagenarian	(나이가) 90대인 사람
patron	"후원자, 홍보 대사, 고객"
equestrian	승마의
mausoleum	"(중요 인물·가문의) 묘, 능"
nebula	성운(星雲)
analogous	유사한
daunting	"벅찬, 주눅이 들게 하는"
harrowing	"끔찍한, 참혹한"
